,Coefficient
AdultWeekday,19.950325206486223
clusters,5.561889530588364
summit_elev,3.7369691335542634
fastQuads,1.211837745004579
vertical_drop,1.1660043348681948
surface,1.1562926884220328
daysOpenLastYear,1.0376539487537653
triple,0.9822650967172343
NightSkiing_ac,0.9303130681263035
Runs,0.9018095408221581
quad,0.9016740653383727
projectedDaysOpen,0.6780573465017242
averageSnowfall,0.6727495599607167
total_chairs,0.5854841978140762
TerrainParks,0.4073762517702931
LongestRun_mi,0.312533579688455
SkiableTerrain_ac,0.3022121469992121
trams,0.2501970538547399
yearsOpen,0.22650451602596866
fastSixes,0.2046269137862811
double,0.19127186811621855
Snow Making_ac,0.07311824147099599
fastEight,0.02627405459340306
explained_variance_score,1.0
mean_absolute_error,6.6019165588513715
lm.intercept,64.16681003584229
